Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
242,2008-09-25,28.1157283782959,29.21983066725304,27.447045700295156,29.0954235575492,10926783
243,2008-09-26,27.664756774902344,28.271236980475035,27.182685793943616,28.271236980475035,4967945
244,2008-09-29,26.638402938842773,28.457836731960352,26.125227682423194,28.457836731960352,7859964
245,2008-09-30,26.6850643157959,27.68031079619661,25.192193540593266,25.192193540593266,6616439
246,2008-10-01,27.571453094482422,27.83581425057549,26.48289983745406,27.027177520569662,3743739
247,2008-10-03,27.96021842956543,28.30233320319936,27.213782169522766,27.71140634288454,4681406
248,2008-10-06,27.384843826293945,27.99132190871058,26.82501709283133,27.64920709490772,5560277
249,2008-10-07,28.28678321838379,28.893263363795448,27.3692905883033,27.3692905883033,9928258
250,2008-10-08,28.069082260131836,28.302343278961654,26.156340640205286,27.338198999987082,9985473
251,2008-10-10,27.898019790649414,28.535600239959432,25.8297732281494,27.96022440752108,9025179
252,2008-10-13,28.457843780517578,28.675553590557183,27.85136569926337,28.03797531312752,6805621
253,2008-10-14,27.77361488342285,29.515297760141586,27.55590505113378,28.61335401322532,5099383
254,2008-10-15,27.540348052978516,28.131274916544296,27.244884621195624,27.618101698668887,5495022
255,2008-10-16,26.48290252685547,27.151585279662022,25.96972920587632,27.151585279662022,6651066
256,2008-10-17,24.492403030395508,27.213780441816404,24.134735019372986,27.027172970554744,5586092
257,2008-10-20,24.77232551574707,25.752023053713874,23.994788791584536,24.585717967470075,7922965
258,2008-10-21,24.97447967529297,26.28074060200216,24.259145657818024,25.021131022631486,8047276
259,2008-10-22,23.60601234436035,24.912273171713775,23.37275140700429,24.725665687350503,5408099
260,2008-10-23,22.45526123046875,23.232797772182767,22.11314430843344,23.015087962343415,6641370
261,2008-10-24,19.54726791381836,22.082035443114776,19.282904724489523,21.77102091882308,9905588
262,2008-10-27,18.038854598999023,19.282913245936452,16.172766628592882,19.18960842557551,12878172
263,2008-10-29,20.41811180114746,21.708821410116364,18.660878232620647,20.526965634042206,13094201
264,2008-10-31,21.724376678466797,22.393059389589357,20.651376641087477,21.491115709071167,8097887
265,2008-11-03,22.3930606842041,22.98398766382192,21.61552196539707,22.952885355756543,4951148
266,2008-11-04,23.37275505065918,23.559364673316264,21.97318920833993,22.08204306388743,4515828
267,2008-11-05,22.5174617767334,24.507956416204745,22.08204008566029,24.507956416204745,6145587
